ID;DATE;FISCAL YEAR;MONTH;MONTH DESC;MONTHDAY;WEEKDAY;WEEKDAY DESC;DAY DESC;CWEEK;QUARTER;YEAR-QUARTER;HALFYEAR;YEAR-HALFYEAR
0;2015-01-01;2015;1;January;1;4;Working Day;Thursday;00;Q1;2015-Q1;H1;2015-H1
1;2015-01-02;2015;1;January;2;5;Working Day;Friday;00;Q1;2015-Q1;H1;2015-H1
2;2015-01-03;2015;1;January;3;6;Weekend;Saturday;00;Q1;2015-Q1;H1;2015-H1
3;2015-01-04;2015;1;January;4;7;Weekend;Sunday;00;Q1;2015-Q1;H1;2015-H1
4;2015-01-05;2015;1;January;5;1;Working Day;Monday;01;Q1;2015-Q1;H1;2015-H1
5;2015-01-06;2015;1;January;6;2;Working Day;Tuesday;01;Q1;2015-Q1;H1;2015-H1
6;2015-01-07;2015;1;January;7;3;Working Day;Wednesday;01;Q1;2015-Q1;H1;2015-H1
7;2015-01-08;2015;1;January;8;4;Working Day;Thursday;01;Q1;2015-Q1;H1;2015-H1
8;2015-01-09;2015;1;January;9;5;Working Day;Friday;01;Q1;2015-Q1;H1;2015-H1
9;2015-01-10;2015;1;January;10;6;Weekend;Saturday;01;Q1;2015-Q1;H1;2015-H1
10;2015-01-11;2015;1;January;11;7;Weekend;Sunday;01;Q1;2015-Q1;H1;2015-H1
11;2015-01-12;2015;1;January;12;1;Working Day;Monday;02;Q1;2015-Q1;H1;2015-H1
12;2015-01-13;2015;1;January;13;2;Working Day;Tuesday;02;Q1;2015-Q1;H1;2015-H1
13;2015-01-14;2015;1;January;14;3;Working Day;Wednesday;02;Q1;2015-Q1;H1;2015-H1
14;2015-01-15;2015;1;January;15;4;Working Day;Thursday;02;Q1;2015-Q1;H1;2015-H1
15;2015-01-16;2015;1;January;16;5;Working Day;Friday;02;Q1;2015-Q1;H1;2015-H1
16;2015-01-17;2015;1;January;17;6;Weekend;Saturday;02;Q1;2015-Q1;H1;2015-H1
17;2015-01-18;2015;1;January;18;7;Weekend;Sunday;02;Q1;2015-Q1;H1;2015-H1
18;2015-01-19;2015;1;January;19;1;Working Day;Monday;03;Q1;2015-Q1;H1;2015-H1
19;2015-01-20;2015;1;January;20;2;Working Day;Tuesday;03;Q1;2015-Q1;H1;2015-H1
20;2015-01-21;2015;1;January;21;3;Working Day;Wednesday;03;Q1;2015-Q1;H1;2015-H1
21;2015-01-22;2015;1;January;22;4;Working Day;Thursday;03;Q1;2015-Q1;H1;2015-H1
22;2015-01-23;2015;1;January;23;5;Working Day;Friday;03;Q1;2015-Q1;H1;2015-H1
23;2015-01-24;2015;1;January;24;6;Weekend;Saturday;03;Q1;2015-Q1;H1;2015-H1
24;2015-01-25;2015;1;January;25;7;Weekend;Sunday;03;Q1;2015-Q1;H1;2015-H1
25;2015-01-26;2015;1;January;26;1;Working Day;Monday;04;Q1;2015-Q1;H1;2015-H1
26;2015-01-27;2015;1;January;27;2;Working Day;Tuesday;04;Q1;2015-Q1;H1;2015-H1
27;2015-01-28;2015;1;January;28;3;Working Day;Wednesday;04;Q1;2015-Q1;H1;2015-H1
28;2015-01-29;2015;1;January;29;4;Working Day;Thursday;04;Q1;2015-Q1;H1;2015-H1
29;2015-01-30;2015;1;January;30;5;Working Day;Friday;04;Q1;2015-Q1;H1;2015-H1
30;2015-01-31;2015;1;January;31;6;Weekend;Saturday;04;Q1;2015-Q1;H1;2015-H1
31;2015-02-01;2015;2;February;1;7;Weekend;Sunday;04;Q1;2015-Q1;H1;2015-H1
32;2015-02-02;2015;2;February;2;1;Working Day;Monday;05;Q1;2015-Q1;H1;2015-H1
33;2015-02-03;2015;2;February;3;2;Working Day;Tuesday;05;Q1;2015-Q1;H1;2015-H1
34;2015-02-04;2015;2;February;4;3;Working Day;Wednesday;05;Q1;2015-Q1;H1;2015-H1
35;2015-02-05;2015;2;February;5;4;Working Day;Thursday;05;Q1;2015-Q1;H1;2015-H1
36;2015-02-06;2015;2;February;6;5;Working Day;Friday;05;Q1;2015-Q1;H1;2015-H1
37;2015-02-07;2015;2;February;7;6;Weekend;Saturday;05;Q1;2015-Q1;H1;2015-H1
38;2015-02-08;2015;2;February;8;7;Weekend;Sunday;05;Q1;2015-Q1;H1;2015-H1
39;2015-02-09;2015;2;February;9;1;Working Day;Monday;06;Q1;2015-Q1;H1;2015-H1
40;2015-02-10;2015;2;February;10;2;Working Day;Tuesday;06;Q1;2015-Q1;H1;2015-H1
41;2015-02-11;2015;2;February;11;3;Working Day;Wednesday;06;Q1;2015-Q1;H1;2015-H1
42;2015-02-12;2015;2;February;12;4;Working Day;Thursday;06;Q1;2015-Q1;H1;2015-H1
